Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,pred_p12,pred_p9,pred_p6,pred_p3,pred_p1,frac_design,stage_length,ComplType_counts,ComplType_new
Operator 7,Well 92,MBH,9707.0,21.0,143,98,35,1283184.0,31638.3333333333,2012-06-11,141.584483892176,134.330484330484,119.937541091387,103.824238439623,91.2886259040105,OH,47.1550617959261,-103.057148264975,UNKNOWN,660.0,34.41,96.81837794338286,102.0478480604396,119.50665309735832,146.0643854658481,166.12553902297006,1703.4313227624734,462.23809523809524,687.0,OH
Operator 7,Well 288,TFH,8990.0,21.0,160,91,5,2094358.0,57618.0,2012-06-18,118.737672583826,109.478413324567,102.602454525531,92.5231938052451,85.796077142231,OH,48.7171026538664,-102.45227288235,UNKNOWN,660.0,19.19,55.32323425592087,95.88641881095435,106.4280554133353,124.81697728368252,135.29132408031938,1526.6589607414348,428.0952380952381,687.0,OH
Operator 7,Well 326,MBH,8659.0,21.0,160,90,21,2162180.0,58524.0,2012-05-14,160.913872452334,157.823800131492,149.391847468771,144.079187668931,138.557418365111,OH,48.6757171833414,-102.313656675771,UNKNOWN,660.0,46.16,128.30006598971323,155.12173924038447,166.15481753344883,182.21405385188862,195.29302118684674,1551.697765019479,412.3333333333333,687.0,OH
Operator 7,Well 1722,MBH,9623.0,21.0,142,95,11,1708145.0,62146.0,2012-06-17,131.262327416174,129.246110015341,109.714003944773,98.5535831689678,87.7383300460224,Sleeves,47.1269577688256,-102.678220531011,UNKNOWN,660.0,33.65,94.76807462486263,98.06503996938024,113.40589441849579,133.53070701997288,159.81549301887551,1154.4120297364273,458.23809523809524,4244.0,Sleeves
Operator 7,Well 1852,MBH,8541.0,21.0,142,95,36,2134416.0,52873.0,2012-02-17,82.4457593688363,79.0488713565637,72.0907297830375,66.1699174519687,61.9301994301994,OH,47.06894830346,-102.664257868471,UNKNOWN,660.0,25.2,71.8300961770396,69.13212516372766,75.96767606836185,87.48333231951948,97.57243291481967,1695.4867701851606,406.7142857142857,687.0,OH
Operator 7,Well 1911,MBH,8671.0,21.0,142,95,19,1498096.0,63915.0,2012-07-07,261.998685075608,200.339688801227,154.339250493097,135.349550734166,121.572978303748,OH,47.0974878908503,-102.765343956095,UNKNOWN,660.0,43.08,120.08408731424366,136.0424485469333,156.03154262398056,188.2912483656883,248.11600148645334,984.4329500117343,412.9047619047619,687.0,OH
Operator 7,Well 1916,MBH,8756.0,21.0,142,97,28,1854514.0,73407.0,2012-07-07,266.699539776463,233.585360508437,214.590181897874,199.583607275915,185.196142888451,OH,47.0952585674502,-102.977041303931,UNKNOWN,660.0,61.94,170.06504414705046,207.55382729956852,230.5952899398472,262.39937186057006,289.45018792635125,1061.0648575748905,416.95238095238096,687.0,OH
Operator 7,Well 1922,MBH,9544.0,21.0,142,97,26,1760374.0,54103.0,2012-05-06,379.026955950033,359.062020600482,334.111330265176,302.447220395938,278.364014902476,OH,47.0829242003521,-102.939674743002,UNKNOWN,660.0,102.25,274.9433389010629,312.42968389723063,350.2783768610848,409.81366608182987,445.6264831135519,1366.5731659981889,454.4761904761905,687.0,OH
Operator 7,Well 1923,MBH,9050.0,21.0,142,97,28,1933390.0,84564.0,2012-07-02,147.797501643655,122.802980495288,97.2605741836511,83.6803272700709,73.2440280517204,OH,47.0952590913963,-102.976840370628,UNKNOWN,660.0,27.22,77.33920750205043,81.81130517837265,96.20064604311531,118.27436842126602,151.8204323218589,960.2476231020291,430.95238095238096,687.0,OH
Operator 7,Well 1927,MBH,9119.0,21.0,142,95,5,1080220.0,57229.0,2012-07-02,304.99671268902,209.105851413544,171.318211702827,150.734166118781,133.470304624151,OH,47.1536989207147,-102.744391046119,UNKNOWN,660.0,31.98,90.25596067850555,149.40624569422897,173.87460870421964,209.15762558621628,259.0126835381436,792.7666043439515,434.23809523809524,687.0,OH
